,content,background,textcolor,font,label
15,"‌واقعاً قرار نیست اتفاق خاصی بیفته تا شخصیت و روان بچه‌ها دچار ضعف بشه.‌ ‌
اعتمادبه‌نفس همون چیزیه که به بچه‌ها شجاعت امتحان کردن چیزهای جدید رو میده و باعث میشه بتونن به خودشون باور داشته باشن. شما می‌تونین به سادگی به رشد شخصیت و اعتمادبه‌نفس کوچولوتون کمک کنین. و در عین‌حال، با انجام یه سری کارها -به صورت ناخوداگاه- اعتمادبه‌نفس اون‌ها را ضعیف کنین.‌ ‌ 
‌فراموش نکنین که همه‌ی مادر و پدرها می‌تونن اشتباهاتی داشته باشن و این کاملاً طبیعیه. ولی مهم اینه که متوجه خروجی رفتارهاتون بشید و بفهمین هر رفتار شما، چه تأثیری ممکنه روی کودک‌تون بذاره. برای این‌که این اتفاق‌ها نیفته، اسلایدها رو ورق بزنید تا بدونین چه رفتارهایی رو نباید انجام داد.‌ 
☆ اگه کوچولوتون حاضر نباشه از پارک برگرده، شما چیکار می‌کنین؟
‌ ‌‌  @dr.hossein_nikoo",base_background_ge,black,titr,ejtemayi
16,"🔸پشه‌ای که برای پوتین جنجال درست کرد!

▫️انتشار تصاویر و ویدیوهای تازه درباره ولادیمیر پوتین رئیس جمهوری روسیه بار دیگر شایعات را در خصوص وضعیت سلامتی او تقویت کرد.

▫️انتشار این تصاویر و ویدیوها از آنجایی جنجالی شد که هنگام نشستن پشه ای روی صورت پوتین، در قسمت راست صورت، او برای دور کردن آن از دست چپ استفاده می کند.  اینستاگرام ،تلگرام ،یوتیوب
  hashtagsahartv",base_background_gb,blue,nastaliq,siyasi
17,"🔺️ یوتیوب با معرفی ابزار جدیدی، ساخت ویدیوهای کوتاه را آسان‌ می‌کند.

🔸 #یوتیوب به عنوان بخشی از رقابت خود با تیک‌تاک، ابزار جدیدی به اپلیکیشن iOS و اندروید خود اضافه کرده که «Edit to Shorts» نام دارد و تبدیل ویدیوهای طولانی‌تر کاربران به ویدیوهای کوتاه Shorts را آسان‌تر می‌کند.

🔹 با وجود این ابزار، تولیدکنندگان محتوا می‌توانند تا حداکثر 60 ثانیه یکی از ویدیوهای خود را انتخاب کنند و سپس کلیپ موردنظر خود را از برنامه یوتیوب در iOS یا اندروید به ویرایشگر Shorts بیاورند. سپس می‌توان موارد دیگری از جمله متن، فیلترهای مختلف و همچنین محتوا موجود در گالری یا گرفته شده توسط دوربین را به آن اضافه کرد و ویدیو کوتاه جدید خود را آپلود کرد.  #سوشال مدیا",base_background_gf,blue,afsaneh,IT
18,"دوره زبان برنامه نویسی پایتون 
  شامل مباحث مقدماتی و متوسط پایتون 

مناسب برای افرادی که قصد دارن با استفاده از پایتون برنامه‌نویسی یادگیری ماشین، تحلیل داده، برنامه نویسی وب و سایر کاربردهای پایتون انجام دهند  در صورت علاقه‌مندی به این دوره ریپلای بزنید",white_background,black,sahel,IT
19,دستگیری عامل انتشار تصاویر خصوصی در فضای مجازی در جاجرم,default,yellow,iphone,majazi
20,"""یک نکته اساسی""
اگه بچتون ازتون پرسید: نقاشيم قشنگه؟ 
بهش بگيد: خودت دوستش داری؟ اگه تو ميگی قشنگه، پس حتما قشنگه. 
بهش یادآوری کنید که خودش مهمترین شخصيه که باید از کارش خوشش بیاد
با این روش بچه یاد میگیره که در زندگی، خودش باید از رفتار و زندگيش لذت ببرد، نه اینکه مدام دنبال تائید شدن توسط دیگران باشد.",base_background_gd,white,dastnevis,ejtemayi
21,"چه سخت است
 باورش، تحملش، 
جدا شدنش و ندیدنش ، 
ولی چه می‌شود کرد، 
باید در برابر مشیت الهی سر تسلیم فرود آورد.",default,black,nastaliq,nasihat va sokhan
22,"♨️ دستاورد دانشمندان چینی: ساخت لیزری که نوشته‌های قابل لمس در هوا نمایش می‌دهد.

🔸 محققان چینی یک قلم لیزری پرقدرت و پیشرفته را توسعه داده‌اند که می‌تواند در هوا علامت و نوشته‌هایی را ایجاد کند. نکته‌قابل توجه اینکه حروف نمایش داده شده در هوا توسط این لیزر از هر زاویه‌ای قابل مشاهده است و می‌توان آن‌ها را به صورت فیزیکی لمس کرد.  #تکنالوژی",base_background_ge,blue,afsaneh,elmi
23,"🔺️ اولین تصویر از آواتارهای 
سه‌بعدی واتس‌اپ منتشر شد.

🔸️ در حالی که طی هفته‌های
 گذشته واتساپ در حال آزمایش
 ویژگی‌های مهمی بوده، اما احتمالا 
بزرگ‌ترین قابلیت در حال توسعه
 برای کاربران این سرویس پیام‌رسان،
 امکان اضافه کردن آواتارهای سه‌بعدی
 قابل تنظیم برای تمامی کاربران است.
 شرکت متا از مدت‌ها قبل در حال کار
 روی این ویژگی بوده و حالا تصویر بالا
 از آن منتشر شده است.

🔹 وب‌سایت WABetaInfo در ادامه
 گزارش خود توضیح داده که از این
 آواتارهای سه‌بعدی می‌توان به عنوان
 یک فیلتر در هنگام تماس‌های ویدیویی
 استفاده کرد. همچنین می‌توان
 استیکرهای جدیدی بر اساس آن‌ها
 ساخت و در چت‌های خود از استیکرها
 استفاده کرد.
==========  #سوشال مدیا  hashtagsahartv
به روز باشین",pattern_p,black,afsaneh,majazi
24,"«اعتماد» بررسي كرد كاهش ۴۴ درصدی داوطلبان گروه رياضی كنكور طی ۱۰ سال اخير؛
نخبه‌ها کجا می‌روند؟
▪️بررسی‌های «اعتماد» از تغییرات آماری تعداد داوطلبان کنکور ۱۴۰۱ در مقایسه با آزمون سراسری ۱۳۹۱ نشان داد که نوسانات منجر به افول چشم‌انداز اقتصادی، اجتماعی و سیاسی کشور و بازار اشتغال ایران در این بازه زمانی ۱۰ ساله، بر انتخاب اولیه داوطلبان کنکور تاثیرگذار بوده است.
وقتی پست ها و نقش ها بر اساس صلاحیت، توانایی و تخصص تقسیم نمی گردد، و افرادی معلوم الحال و صرفا بر اساس روابط و رانت مسئولیت می گیرند، این امر کاملا طبیعی است.",black_background,white,sahel,dars va daneshgah
25,"""روز جهانی مراقبت از خود""
یکی از آسیب های که انسانها به خود می زنند، حرص و خودخوری از دوری عزیزان یا رفتن کسی است که خاطرات متفاوت و خوشایند و حتی ناخوشایندی از خپد بجا گذاشته اند. 
شما باید یاد بگیرید، رفتن یک اصل انکار ناپذیر در زندگی است. فلسفه آمدن ها، با رفتن ها معنا می یابد. رفتن،یکی از اشکال مفهوم ساختن خاطراته. 
فراموش نکنید،کسی که حس ماندن دارد، قطعا خواهد ماند، و آنکس که توجیه به رفتن می کند، اصراری بر ماندنش نکنید. 
بیاموزید که در ابتدا از خود مراقبت کنید.",base_background_ge,white,nastaliq,ejtemayi
26,"دوباره نغمه خوانم کرده جاجرم
سر پیری جوانم کرده جاجرم
اگرچه عاشق ایران زمینم
خراسان آشیانم کرده جاجرم
دعاگویی و خوشرویی و جان را
همه ورد زبانم کرده جاجرم
اگر غربت اسیری بی‌قرارم
گمانم امتحانم کرده جاجرم
از این آب و هوا و شور و مستی
به مغز استخوانم کرده جاجرم
شبیه تاق و گزهای کویرش
بشدت مهربانم کرده جاجرم
کشیده نقش فردوسی به جانم
ادیب و نکته دانم کرده جاجرم
دلم پر می‌زند فصل بهارش
چو مرغ آسمانم کرده جاجرم
  شاعر: اسماعیل جاجرمی",yellow_background,black,rezvan,sher va adabiyat
27,"💢 واتس‌اپ سرانجام انتقال چت‌ها بین اندروید و iOS را برای تمام کاربران ممکن کرد

🔸️ واتس اپ پس از سال‌ها ارائه نسخه‌های آزمایشی محدود به برخی کاربران، سرانجام اکنون امکان انتقال کل «تاریخچه چت» بین گوشی‌های اندروید و iOS را برای تمام کاربران خود فراهم کرده است.

🔹همانطور که صفحه پرسش‌های متداول واتس‌اپ توضیح می‌دهد، قابلیت انتقال داده‌های این اپلیکیشن از سیستم عامل اندروید 5.0 یا بالاتر و iOS 15.5 یا بالاتر پشتیبانی می‌کند. 

🔹️ علاوه بر این، برای انجام این کار باید واتس‌اپ نسخه 2.22.7.74 یا بالاتر را در گوشی اندروید خود و نسخه 2.22.10.70 یا بالاتر را روی دستگاه iOS خود نصب کرده باشید.  #سوشال مدیا",default,default,ordibehesht,IT
28,و اینکه لطفا پستو به اشتراک بزارید,white_background,black,sahel,majazi
29,اسم یه خواننده بگو من آهنگ مورد علاقم از اون خواننده میگم,pattern_o,black,nastaliq,honar
30,"البته باید بگم؛ رها شدن عالیه، ولی فراموش نکنیم انسانها با انرژی یکدیگر زنده اند. 
در ضمن، همه دروغگو نیستند، انسانهای صادق هم کم نیستند. 
پس هر باور ذهنی در نگارشی زیبا، واقع گرایانه نیست.",default,orange,nastaliq,nasihat va sokhan
31,"♨️ اینستاگرام از نقشه جدیدی برای پیدا کردن کسب‌و‌کارهای اطراف کاربران رونمایی کرد.

🔸 #اینستاگرام در جدیدترین به‌روزرسانی خود، یک نقشه قابل‌جستجو و پویا را به کاربران ارائه کرده تا با استفاده از آن، بتوانند مانند «گوگل مپس» کسب‌و‌کارها یا فروشگاه‌های اطراف خود را پیدا کنند.

🔹 تا قبل از این به‌روزرسانی، کاربران اینستاگرام از طریق پست‌ها و موقعیت‌مکانی آن‌ها به نقشه دسترسی داشتند اما اکنون می‌توانند نقشه را به‌طور کامل جستجو کنند و حتی گزینه‌هایی برای فیلتر کردن فروشگاه‌های موردنظر خود داشته باشند. همچنین با انتخاب یک کسب‌وکار، می‌توان پست‌ها و استوری‌های مربوط به آن را تماشا کرد.

  #سوشال مدیا",pattern_m,black,shabnam,majazi
32,"اعتراض مهاجران افغانستانی مقابل سفارت آمریکا در ماداگاسکار

🔹برخی از مهاجران افغانستان مقابل سفارت آمریکا در پایتخت ماداگاسکار تجمع کرده و خواستار تسریع در رسیدگی به پرونده‌های خود پس از سال ها انتظار شدند.  #پناهندگان",base_background_ge,yellow,dastnevis,siyasi
33,"🔴دانشمندان با هک کردن مغز مگس‌ها، آن‌ها را به انجام فرمان‌های خود وادار کردند

  🔻محققان دانشگاه Rice نشان داده‌اند که چگونه می‌توان مغز مگس‌های میوه را هک و آن‌ها از راه دور کنترل کرد. آن‌ها در آزمایش خود توانسته‌اند مگسی را که مهندسی ژنتیکی شده بود، تحت یک میدان مغناطیسی قرار داده و فرمان خاصی را به عصب‌های مغز او ارسال کنند.

🔻پژوهشگران ابتدا مگس‌های میوه را تحت مهندسی ژنتیک قرار دادند تا بعضی از اعصاب آن‌ها کانال‌های یونی حساس به دما داشته باشند. زمانی که این کانال‌ها گرما دریافت کردند، عصب مربوطه فعال می‌شود و مگس بال‌های خود را باز می‌کند. این حرکت در حالت عادی تنها در وضعیت جفت‌گیری دیده می‌شود، اما اکنون با فرمان محققان قابل انجام است.",black_background,blue,iphone,elmi
34,"💢فیلمی به تهیه‌کنندگی جکی چان در مقر سابق داعش در سوریه فیلمبرداری می شود

سیاهی‌لشکرهای سوری و یک گروه فیلمبرداری چینی این روزها در شهر حجرالاسود در حومه دمشق حضور دارند. شهری که که داعش در سال ۲۰۱۸ از آن بیرون رانده شد. آن‌ها این شهر را برای لوکیشن فیلمی اکشن با تهیه‌کنندگی جکی چان (جان)، ستاره کونگ فوی هنگ‌کنگ انتخاب کرده‌اند.

«عملیات خانگی» نام این فیلم است که داستان آن در کشوری تخیلی با نام «پومان» می‌گذرد. این فیلم از ماجرای تخلیه صدها شهروند چینی و خارجی از یمن در سال ۲۰۱۵ با کشتی‌های نیروی دریایی چین الهام گرفته شده",pattern_q,white,default,siyasi
35,"💢 ده ها روزنامه نگار افغانستانی خواستار رسیدگی به پرونده های شان شدند

🔸️ ده ها روزنامه نگار رسانه های دیداری و شنیداری افغانستانی در یک گرد همایی در شهر اسلام آباد پاکستان از دولت کانادا و کشور های عضو اتحادیه اروپا خواستار رسیدگی به پرونده های شان شدند.",base_background_gd,default,default,siyasi
36,"خدمات  ✅️ فیشال انواع پوست

✅️آبرسانی و اکسیژن رسانی

✅️کنترل چربی و درمان جوش

✅️لیفت و جوانسازی

✅️خدمات وایتنینگ(ضدلک)

✅️ماساژ تخصصی صورت

✅️اسید تراپی

✅️آبرسانی و درمان تخصصی دور چشم",default,black,pooya,zibayi
37,سوگند به آن کسی که جانم در دست قدرت اوست ،این (علی) و شیعیانش رستگارند در روز قیامت ،آنگاه آیه مزبور نازل شد. الدر المنثور ،سیوطی:جلد۶ صفحه ۳۹۷,white_background,black,nastaliq,mazhabi
38,"سلام خدمت شما دوستان گرامی.
احتراماً به اطلاع شما عزیزان می رسانم ،با توجه به گرانی و تورم اخیر که شامل حال همه ما شده ،بنده عذر خواهم که مجبورم قیمت اصلاح و سایر لاین ها از قبیل انواع پاکسازی ، گریم داماد ، میکرودرم ، را با توجه به عرف بازار افزایش دهم ،میدونم که درک میکنید باز هم از محضر شما دوستان عذرخواهی میکنم ، 
ممنون از حمایتتون",pattern_m,black,pooya,eqtesadi
39,"چقدر غمناک.... 
آقای شنگله؛ در دنیای امروز چه چیزی شما را بیش از همه شما را شگفت زده می کند؟ 
اسماعیل شنگله: ""صداقت....!"" 
روحش شاد و یادش گرامی باد🖤",black_background,white,nastaliq,monasebat
40,"🔺️ ویندوز 12 احتمالا سال 2024 از راه می‌رسد.

🔸 با توجه به استقبال ویژه‌ای که از #ویندوز 11 شد، #مایکروسافت تمرکز خود را روی توسعه ویندوز 12 گذاشته تا بتواند به روند موفقیت‌آمیز سیستم عامل پر طرفدارش ادامه دهد. بر همین اساس احتمالا اگر مشکلی در روند توسعه نسل جدید ویندوز پیش نیاید، امکان دارد که تا آخر سال 2024 شاهد معرفی ویندوز 12 از سوی ردموندی‌ها باشیم.

🔹 براساس گزارشات، مایکروسافت در حال تغییر برنامه‌های خود در راستای ارائه به‌روزرسانی‌های بزرگ و جدید برای ویندوز است. بنابراین امکان دارد که ردموندی‌ها هر سه سال، یک به‌روزرسانی مهم را برای کاربران ویندوز منتشر کنند.  #تکنالوژی",default,default,isfahan,IT
41,"جوانیم را مزه عرق کردم🕊
مست بودم 
نفهمیدم چه کردم...🥀",default,black,nastaliq,nasihat va sokhan
42,"➖ توییتر مختل شد

🔹بسیاری از کاربران شبکه اجتماعی توییتر در مناطق مختلف جهان از اختلال سراسری این پلتفرم گزارش داده‎اند.

🔸در افغانستان نیز برای دقایقی توییتر مختل شد اما اکنون مجددا فعال شده است.  #سوشیال مدیا",darkblue_background,default,khodkar,majazi
43,"هر کسی را سر چیزی و تمنای کسی است
ما به غیر از تو نداریم تمنای دگر.... 
حضرت سعدی",black_background,white,nastaliq,sher va adabiyat
44,"کسی عکاسی بلده پیام بده کارش دارم 
حتی اگه یه کوچولو بلدی
اصلا فقط بتونی دوربین بگیری من بقیشو یاد میدم 
یه پااااایه عکاسی😂",pattern_g,orange,rezvan,tanz
45,"دیدن ۱۳ میلیارد سال پیشتر!
دیدن کهکشان‌های در حال تولد
دیدن سیاره‌هایی با اکسیژن و آب و ابر
یقین رسیدن به اینکه ما تنها موجودات خدا نیستیم.
خدایا حالا می‌فهمم وقتی می‌گوییم خدا قابل درک نیست یعنی چه. وقتی می‌گوییم وصف خدا ممکن نیست.
خدای من، تو چقدر به ما خندیده‌ای وقتی ما تصور می‌کردیم در مرکز این خلقتیم.
وقتی ما تصور می‌کردیم با مرگ ما نسل بشر، ما موجودات دو پا که در حال تکه پاره کردن همیم، خدا چه بیکار می‌شود!
وقتی ما فکر می‌کردیم برای هر کار کوچکی می‌توانیم احضارت کنیم و تو بلافاصله بیایی و ببینی چه شده.
من نتوانستم فیلم تلسکوپ جیمز وب را دو بار هم نگاه کنم، چشم‌هایم تر می‌شدند! من چه حقیرم در برابر این همه، کره زمین چه گم است. کهکشان ما چه ناچیز است.
نمی‌دانم چه بگویم
نمی‌دانم چه بنویسم...",pattern_p,black,iphone,elmi
46,"احتمالا اخباری که اخیرأ در مورد Safe Search گوگل اعمال شده رو شنیدید. این موضوع باعث محدودیت در نتایج جستجوی گوگل شما میشه.
برای بررسی اینکه Safe Search برای اکانت شما فعال هست یا نه، کافیه گوگل سرچ کنین: Safe Search  اگر تیک آبی رو مشاهده کردین یعنی این وضعيت برای شما فعاله و باعث اعمال محدودیت در نتایج جستجو خواهد شد.",white_background,black,sahel,IT
47,گوگل برای جشن گرفتن عکس تازه‌ی فراژرف کیهان لوگوی خود را به تصویر تلسکوپ جیمز وب تغییر داد  #تلسکوپ جیمزوب  hashtagsahartv,default,black,titr,elmi
48,انواع موبایل و لوازم جانبی بااقساط بلندمدت وکارمزدمناسب  گروه موبایل  و لوازم جانبی آوادیس   آدرس یزد آزادشهر فلکه اول به سمت فلکه دوم نبش اولین کوچه 37233900-37201277  تخصصی ترین مرکز فروش.مشاوره وخدمات پس از فروش انواع تلفن همراه   باهر توان مالی میتونی خرید کنی,base_background_ge,yellow,titr,tablighat va business
49,"هر زمانی خواستید 
خودتون را بشناسید، 
غرورتون را له کنید، 
مفهوم کوتاهی عمر را بدانید، 
به ناچیر بودن وجود خاکی خود پی ببرید؛ 
فقط و فقط کهکشان ها را مطالعه کنید
و به آسمان بنگرید.  @dr.hossein_nikoo",black_background,gray,ordibehesht,nasihat va sokhan
50,"برخی از دوستان گفتند منظور از عمیق ترین تصویر یعنی چی؟ 
عمبق ترین، یعنی فاصله بین دو ستاره در تصویر. 
در تصایر قبلی هابل، فاصله بین ستاره ها حذاکثر  ۳۰ میلیون سال نوری بود ولی در این تصویر، ستاره هایی وجود دارد که فاصله تصاویر به ۱۲۰۰۰ میلیون سال نوری می رسد. کسانی که با کهکشان اشنایی دارند، قطعا الان سرشون گیج رفته.
تیزترین: یعنی سرعت عمل در عکس انداختن. در حالیکه یک چنین تصویری توسط هابل،  چندین هفته طول می کشد تا گرفته شود، این تصویر توسط جیمز وب فقط در یک روز گرفته شده است. ققط کافیست بگم، ستاره هایی که شما در آسمان می بینید، خیلی هاشون وحود ندارند. 
 و این یعنی یک ابر انقلاب واقعی در جهان تکنولوژی است، انقلابی که عمل نظیرش را بخود ندیده است.",pattern_f,white,iphone,elmi
51,"تو به اندازه آدمایی که نگرانت میشن، خوشبختی... 
همین   قدر   واضح
همین قدر ساده  @dr.hossein_nikoo",black_background,gray,ordibehesht,nasihat va sokhan
52,این ورزشگاه ولایت غزنی است، فیفا ۸۵۰ هزار دالر روی چمن مصنوعی و چوکی‌های آن خرج کرده اما سیلاب دیشب آن را به ویرانه‌ای تبدیل کرده است..😢   #حوادث,gray_background,black,titr,varzeshi
53,"💢چه سلاحی در تیراندازی به شینزو آبه استفاده شد؟ 

یک متخصص سلاح گرم می‌گوید که به نظر می‌رسد اسلحه‌ای که با آن شینزو آبه، نخست وزیر سابق ژاپن کشته شد دست ساز بوده باشد.
  هشتگ",base_background_gb,blue,isfahan,siyasi
54,"🌻جشنواره عید قربان تا غدیر
😍تمام خدمات شامل تخفیف ویژه می باشد😍
👱🏻‍♀️لاین تراپی _احیا و کراتین 30% تخفیف👱🏻‍♀️
👭با معرفی 5 نفر از دوستانتون به ما از تخفیف طلایی و رایگان برخوردار شوید 👭
  Marya_beautyland",default,yellow,nastaliq,tablighat va business
55,"«إِیّاک اَنْ تَکُونَ مِمّنْ یَخَافُ عَلَی الْعِبَادِ مِنْ ذُنُوبِهِمْ وَیَاْمَنُ الْعُقُوبَةَ مِنْ ذَنْبِهِ».

امام حسین (ع) فرمود: «مبادا از کسانی باشی که از گناه دیگران بیمناکند، و از کیفر گناه خود آسوده خاطرند».

                                      (تحف العقول، ص۲۷۳ )",default,default,pooya,mazhabi
56,سلام فالورای عزیز,pattern_e,default,suls,majazi
57,"آیا میدانید بسیاری از بی دقتی های بچه ها در امتحان، حاصل بازی نکردن است؟🤔🤔🤔
آیا میدانید بسیاری از مشکلات درسی بچه ها مخصوصا در مسائل ریاضی ، به خاطر بازی نکردن است؟
بازی های حرکتی ، بازی های تمرکزی، بازی های خلاق و ….
هفت سال اول هرگونه آموزش مستقیم ممنوع است! اجازه دهید کودک این سالها را فقط به بازی بگذراند ، و بعد در مدرسه ، شاهد شکوفا شدن استعدادهای جهشی و نهفته ی کودک باشید .
شما با بچه فقط بازی کنید . و اجازه دهید خودش در خلال بازیها ، زندگی و مهارت های آن را فرا بگیرد .",base_background_ge,white,iphone,ejtemayi
58,بیا استوری بعدی,base_background_ge,default,iransans,majazi
59,هفت روز  طلایی  بیا استوری بعدی,base_background_ge,default,iransans,majazi
60,"اگر میدانستید که یک محکوم به مرگ
هنگام مجازات تا چه حد آرزوی بازگشت
به زندگی را دارد آنگاه قدر روزهایی را که
با غم سپری میکنید، میدانستید.
درسته که پول رفاه در پی داره، ولی لزوما آرامش به دنبال نخواهد داشت.
ما چاره ای جز لذت بردن از زندگی نداریم، در غیر اینصورت زندگی را باخته ایم.",base_background_ge,white,nastaliq,nasihat va sokhan
61,از هوش مصنوعی عقب نمونید,white_background,black,sahel,IT
62,و تا عاشقانه ای برای زیستن داری، بهانه ای برای غم خوردن نداری.,default,purple,ordibehesht,asheqane
63,"خب: سوالات کنکور هم لو رفت. 
و رییس سازمان سنجش مدعی است، اخلال گران دستگیر شدند. 
دولتی که نمیتونه یک کنکور ساده را بسلامت برگزار کنه، چحور میخواد امتحانات نهایی سالم برای اثر گذاری در کنکور را طراحی، تدوین و اجرا کنه. 
حق  این جوانان، روزی گلوی فاسدان و رانت خواران را خواهد فشرد...",black_background,white,nastaliq,dars va daneshgah
64,"تلف شدن صدها مواشی در بدخشان  
🔸️ منابع مردمی بدخشان، گفتند: در نتیجه سردی هوا ‌در دو هفته اخیر و کمبود مواد غذایی صدها رأس مواشی در پامیرهای این ولایت تلف شده اند.

🔹️به گفته باشندگان، سرمای شدید هوا، دوری مسیرهای پامیر و بی توجهی حکومت سبب شده تا همه ساله صدها رأس مواشی باشندگان این مناطق ازبین بروند و به مردم خسارات هنگفت وارد گردد.

🔸️در همین حال، اداره زراعت طالبان در بدخشان، تلف شدن مواشی را بنا بر بی توجهی مردم در تطبیق واکسن عنوان می کند.

🔺️این در حالی است که سال‌های پیش نیز باشندگان پامیرهای بدخشان از تلف شدن مواشی شان بنا بر سردی هوا خبر داده بودند.",base_background_gb,white,titr,siyasi
65,"چه خوش است
نیمه شبی مهتابی و پر آرامش،
که مریدی مشتاق، با پای برهنه، 
راه به سوی معبدی بلند می سپرد 
به نگاهبانی و پاسبانی از خلوت ملکوتی مرادش، بر محرابی سراسر نور...
دوست دارم صدای متناوب قدم های آن مرید نگهبان باشم که خلوت ملکوتی و نورباران مرادی چون تو را پاس می دارد...  به تو از دور سلام...  علی ناصری",black_background,blue,nastaliq,nasihat va sokhan
66,"🔸 تیمی از محققان آکادمی علوم چین حدود 1000 گونه باکتری را در نمونه‌های برف و یخ جمع‌آوری شده از یخچال‌های طبیعی تبت شناسایی کرده‌اند. محققان می‌گویند ذوب شدن یخچال‌های طبیعی در اثر گرمایش زمین می‌تواند خطر ابتلا به بیماری‌های همه‌گیر را به همراه داشته باشد.

🔹️ محققان نمونه‌های برف و یخ را از 21 یخچال طبیعی در تبت در طول سال‌های 2010 تا 2016 جمع‌آوری کردند. بعد از ذوب شدن یخ‌ها و آزمایش آنها متوجه شدند که 968 گونه منحصربه‌فرد از باکتری‌ در آنها وجود دارد که 98 درصد آن باکتری‌ها قبلا هرگز دیده نشده.  🦠 هشدار دانشمندان: آب شدن یخچال‌های طبیعی می‌تواند منجر به شیوع بیماری‌های جدید شود.",default,blue,pooya,elmi
67,"🔺 پیروزی تکواندوکار کشور در برابر حریفان فرانسوی و هندی خود

▪️ حسین لطفی، تکواندوکار افغانستانی در رقابت آزاد کوریای جنوبی، حریفان فرانسوی و هندی خود را شکست داد. 

▪️ مسئولان فدراسیون تکواندو می‌گویند که لطفی با کسب این دو پیروزی، به مرحله یک چهارم نهایی راه یافته و قرار است با حریف کوریایی‌اش رقابت کند. 
  #ورزش  Hashtagsahartv",gray_background,black,dastnevis,varzeshi
